Country,Date,Cases,Deaths,Recovered,Vaccination
United States,2020-01-01,1490,52,1438,0
United States,2020-01-02,2120,74,2046,3105
United States,2020-01-03,1814,63,1751,12422
United States,2020-01-04,4368,153,4215,27949
United States,2020-01-05,314,11,303,49684
United States,2020-01-06,10101,355,9746,77626
United States,2020-01-07,3864,136,3728,111772
United States,2020-01-08,13292,468,12824,152119
United States,2020-01-09,12902,454,12448,198663
United States,2020-01-10,8595,302,8293,251400
United States,2020-01-11,19853,699,19154,310324
United States,2020-01-12,20836,733,20103,375431
United States,2020-01-13,23500,827,22673,446713
United States,2020-01-14,29910,1053,28857,524165
United States,2020-01-15,35068,1234,33834,607779
United States,2020-01-16,40544,1427,39117,697547
United States,2020-01-17,47113,1659,45454,793461
United States,2020-01-18,49882,1756,48126,895512
United States,2020-01-19,49601,1746,47855,1003690
United States,2020-01-20,58515,2060,56455,1117986
United States,2020-01-21,76057,2678,73379,1238387
United States,2020-01-22,75250,2650,72600,1364884
United States,2020-01-23,87534,3082,84452,1497463
United States,2020-01-24,91453,3220,88233,1636114
United States,2020-01-25,95080,3348,91732,1780822
United States,2020-01-26,103023,3628,99395,1931574
United States,2020-01-27,109951,3872,106079,2088356
United States,2020-01-28,112666,3967,108699,2251152
United States,2020-01-29,127124,4476,122648,2419949
United States,2020-01-30,140015,4930,135085,2594730
United States,2020-01-31,143265,5045,138220,2775478
United States,2020-02-01,156151,5499,150652,2962176
United States,2020-02-02,167440,5896,161544,3154808
United States,2020-02-03,171739,6047,165692,3353354
United States,2020-02-04,183678,6468,177210,3557796
United States,2020-02-05,192518,6779,185739,3768114
United States,2020-02-06,204173,7190,196983,3984290
United States,2020-02-07,213931,7533,206398,4206302
United States,2020-02-08,226800,7986,218814,4434130
United States,2020-02-09,246356,8675,237681,4667752
United States,2020-02-10,250791,8831,241960,4907146
United States,2020-02-11,266691,9391,257300,5152289
United States,2020-02-12,277344,9766,267578,5403158
United States,2020-02-13,295931,10421,285510,5659731
United States,2020-02-14,309671,10905,298766,5921981
United States,2020-02-15,321776,11331,310445,6189885
United States,2020-02-16,333795,11754,322041,6463417
United States,2020-02-17,346161,12190,333971,6742552
United States,2020-02-18,357402,12586,344816,7027262
United States,2020-02-19,382479,13469,369010,7317522
United States,2020-02-20,388504,13681,374823,7613303
United States,2020-02-21,408462,14384,394078,7914577
United States,2020-02-22,425292,14977,410315,8221316
United States,2020-02-23,435736,15344,420392,8533491
United States,2020-02-24,457069,16096,440973,8851072
United States,2020-02-25,472490,16639,455851,9174030
United States,2020-02-26,492272,17335,474937,9502332
United States,2020-02-27,501857,17673,484184,9835949
United States,2020-02-28,516274,18181,498093,10174848
United States,2020-02-29,536239,18884,517355,10518998
United States,2020-03-01,556245,19588,536657,10868365
United States,2020-03-02,573646,20201,553445,11222916
United States,2020-03-03,590307,20788,569519,11582618
United States,2020-03-04,603701,21259,582442,11947436
United States,2020-03-05,630241,22194,608047,12317336
United States,2020-03-06,654127,23035,631092,12692281
United States,2020-03-07,668300,23534,644766,13072237
United States,2020-03-08,688191,24235,663956,13457168
United States,2020-03-09,707727,24923,682804,13847035
United States,2020-03-10,727047,25603,701444,14241803
United States,2020-03-11,748960,26375,722585,14641433
United States,2020-03-12,767568,27030,740538,15045887
United States,2020-03-13,785845,27674,758171,15455126
United States,2020-03-14,805103,28352,776751,15869112
United States,2020-03-15,828005,29159,798846,16287804
United States,2020-03-16,851192,29975,821217,16711162
United States,2020-03-17,870659,30661,839998,17139146
United States,2020-03-18,894527,31501,863026,17571715
United States,2020-03-19,916948,32291,884657,18008826
United States,2020-03-20,940483,33120,907363,18450439
United States,2020-03-21,964425,33963,930462,18896510
United States,2020-03-22,983109,34621,948488,19346996
United States,2020-03-23,1001412,35265,966147,19801854
United States,2020-03-24,1027703,36191,991512,20261041
United States,2020-03-25,1052309,37058,1015251,20724511
United States,2020-03-26,1069615,37667,1031948,21192221
United States,2020-03-27,1104025,38879,1065146,21664124
United States,2020-03-28,1123843,39577,1084266,22140175
United States,2020-03-29,1148781,40455,1108326,22620329
United States,2020-03-30,1176387,41427,1134960,23104538
United States,2020-03-31,1194329,42059,1152270,23592756
United States,2020-04-01,1223059,43071,1179988,24084935
United States,2020-04-02,1245734,43869,1201865,24581027
United States,2020-04-03,1270619,44746,1225873,25080985
United States,2020-04-04,1293992,45569,1248423,25584760
United States,2020-04-05,1327568,46751,1280817,26092301
United States,2020-04-06,1346504,47418,1299086,26603561
United States,2020-04-07,1375936,48455,1327481,27118490
United States,2020-04-08,1393468,49072,1344396,27637036
United States,2020-04-09,1429811,50352,1379459,28159149
United States,2020-04-10,1455793,51267,1404526,28684778
United States,2020-04-11,1479209,52091,1427118,29213873
United States,2020-04-12,1504882,52995,1451887,29746380
United States,2020-04-13,1533870,54016,1479854,30282248
United States,2020-04-14,1567199,55190,1512009,30821423
United States,2020-04-15,1581025,55677,1525348,31363854
United States,2020-04-16,1616847,56938,1559909,31909487
United States,2020-04-17,1638794,57711,1581083,32458267
United States,2020-04-18,1669452,58791,1610661,33010142
United States,2020-04-19,1696555,59745,1636810,33565055
United States,2020-04-20,1723962,60711,1663251,34122954
United States,2020-04-21,1753496,61751,1691745,34683782
United States,2020-04-22,1778069,62616,1715453,35247483
United States,2020-04-23,1813661,63869,1749792,35814003
United States,2020-04-24,1832885,64546,1768339,36383284
United States,2020-04-25,1869313,65829,1803484,36955271
United States,2020-04-26,1895279,66744,1828535,37529906
United States,2020-04-27,1921446,67665,1853781,38107132
United States,2020-04-28,1955079,68850,1886229,38686892
United States,2020-04-29,1978465,69673,1908792,39269128
United States,2020-04-30,2013079,70892,1942187,39853781
United States,2020-05-01,2037684,71759,1965925,40440793
United States,2020-05-02,2073479,73019,2000460,41030106
United States,2020-05-03,2098563,73903,2024660,41621660
United States,2020-05-04,2129908,75006,2054902,42215395
United States,2020-05-05,2162256,76146,2086110,42811253
United States,2020-05-06,2188710,77077,2111633,43409173
United States,2020-05-07,2221158,78220,2142938,44009094
United States,2020-05-08,2246518,79113,2167405,44610957
United States,2020-05-09,2283888,80429,2203459,45214701
United States,2020-05-10,2318002,81630,2236372,45820263
United States,2020-05-11,2351850,82822,2269028,46427584
United States,2020-05-12,2373440,83583,2289857,47036601
United States,2020-05-13,2406359,84742,2321617,47647252
United States,2020-05-14,2428544,85523,2343021,48259475
United States,2020-05-15,2470174,86989,2383185,48873208
United States,2020-05-16,2498603,87990,2410613,49488389
United States,2020-05-17,2525333,88932,2436401,50104953
United States,2020-05-18,2561996,90223,2471773,50722838
United States,2020-05-19,2588086,91142,2496944,51341981
United States,2020-05-20,2618498,92213,2526285,51962319
United States,2020-05-21,2652728,93418,2559310,52583786
United States,2020-05-22,2678828,94337,2584491,53206319
United States,2020-05-23,2716970,95680,2621290,53829854
United States,2020-05-24,2741380,96540,2644840,54454327
United States,2020-05-25,2772729,97644,2675085,55079672
United States,2020-05-26,2804562,98765,2705797,55705825
United States,2020-05-27,2841491,100066,2741425,56332720
United States,2020-05-28,2868372,101012,2767360,56960293
United States,2020-05-29,2897417,102035,2795382,57588478
United States,2020-05-30,2931366,103231,2828135,58217209
United States,2020-05-31,2964779,104407,2860372,58846421
United States,2020-06-01,2992509,105384,2887125,59476047
United States,2020-06-02,3024156,106498,2917658,60106021
